"","country","SFTGcode","COW","risk_in_2017","risk_2017_18","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"21","Ukraine","UKR",369,0.0345,0.05516,0,0,0,0,1,0,0,3.25809653802148,17.6174890590168,2.77488738510232,0.0281047831159189,1,1,3.25809653802148,1,0.47,3.43398720448515,1,3,1,3,0,0,1,0.657983005228029,0,0,0,1,-1.68585024930478,1,1,0
"22","Republic of the Congo","CON",484,0.02936,0.0549,0,1,1,0,0,0,0,4.04305126783455,15.4850302020726,5.76194411635517,-0.0477242598320813,1,1,2.99573227355399,1,0.87,3.95124371858143,1,4,0,4,0,0,0,0.202393356889532,0,0,0,1,-1.40252614139384,0,1,0
"23","Kenya","KEN",501,0.02296,0.05084,0,0,1,0,0,0,0,3.98898404656427,17.691119992585,5.95818764390649,0.0401294498381877,0,1,2.70805020110221,0,0.86,3.91202300542815,1,4,1,4,0,0,0,0.840481182862196,0,0,0,1,-2.80906463771071,0,0,1
"24","Mozambique","MZM",541,0.02259,0.04917,0,1,1,0,0,0,0,3.73766961828337,17.1750616941546,7.52994023880668,0.00861393891934226,0,1,3.13549421592915,0,0.69,3.29583686600433,1,4,1,4,0,1,1,0.748428335992264,0,0,0,0,-1.62609251314026,0,1,0
"25","Burma/Myanmar","MYA",775,0.02771,0.04747,1,1,0,1,0,0,0,4.23410650459726,17.7780650229211,6.28490254498827,0.0522797394583476,0,1,0,0,0.51,4.44265125649032,1,4,1,2,0,0,0,0.647780642006612,1,0,0,1,-2.74362851181662,0,0,1
"26","Algeria","ALG",615,0.02321,0.04403,0,1,0,0,0,1,0,4.00733318523247,17.5152087674804,4.67974358271904,0.0233415233415233,1,1,2.56494935746154,0,0.34,4.46590811865458,1,3,1,2,0,1,0,0.641734455286603,0,0,0,1,-2.35244483206473,0,1,0
"27","Ivory Coast","IVO",437,0.02064,0.04051,0,1,1,0,0,0,0,4.04305126783455,16.9807341853855,8.16088230524127,0.0549956809674632,1,1,1.79175946922805,0,0.82,0,1,4,1,4,0,1,1,0.84766748118683,0,0,0,0,-2.48945044940105,0,1,0
"28","China","CHN",710,0.02011,0.03953,0,1,0,1,0,0,0,7.71333788887187,21.03450487955,3.03315017762062,0.0264955840693217,0,1,4.21950770517611,0,0.15,0,1,0,1,1,0,0,0,0.341780993914339,0,0,0,1,-2.80085886088739,0,0,0
"29","Jordan","JOR",663,0.01591,0.03734,0,1,0,0,0,1,0,4.26267987704132,16.0768886329502,3.92428337406972,0.000851933889930212,0,1,3.3322045101752,0,0.59,3.55534806148941,1,4,1,2,0,1,0,0.730535518272008,0,0,0,1,-1.58144091090155,0,1,0
"30","Central African Republic","CEN",482,0.02235,0.03661,1,1,1,0,0,0,0,4.04305126783455,15.3807306890202,9.5655632348545,0.0231404958677686,1,1,0,0,0.83,0,1,4,1,3,0,0,0,0.575751262291188,0,0,0,0,-2.6469033598906,1,0,1
"31","North Korea","PRK",731,0.02476,0.03542,1,1,0,1,0,0,0,4.23410650459726,17.0490779315755,22,-0.0165809033733562,0,1,4.23410650459726,1,0.04,0,1,0,1,0,1,0,0,0.0115198345472078,1,1,1,1,-1.42414458525099,0,0,0
"32","Morocco","MOR",600,0.01439,0.03434,0,0,0,0,0,1,0,4.11087386417331,17.3753945481569,4.86826457785523,0.00475122079978885,0,1,3.95124371858143,0,0.48,0,1,4,2,2,0,1,0,0.733941165330589,0,0,0,1,-1.9697229057105,0,1,0
"33","Russia","RUS",365,0.02048,0.03417,0,1,0,0,1,0,0,3.25809653802148,18.77929347993,2.86356421265527,-0.00233584220088245,1,1,2.83321334405622,1,0.25,4.24849524204936,1,4,1,3,0,1,1,0.601877764381045,0,0,0,0,-2.56323874240712,0,1,0
"34","Guinea","GUI",438,0.01687,0.03202,0,1,1,0,0,0,0,4.07753744390572,16.3418014249261,7.81024967590665,0.0386052303860522,1,1,1.38629436111989,0,0.74,0,1,4,2,4,0,1,0,0.770374723284456,0,0,0,1,-1.62453945407797,0,1,0
"35","Uzbekistan","UZB",704,0.01992,0.03186,0,0,0,0,0,0,1,3.25809653802148,17.2738603670421,5.82237065120385,0.0679696936422531,1,1,3.25809653802148,1,0.41,0,1,2,1,1,0,0,0,0.29021205311618,0,0,0,1,-2.72846255541163,0,0,0
"36","Iran","IRN",630,0.01352,0.03156,0,1,0,0,0,1,0,6.24610676548156,18.1939033790351,3.66060104354463,0.101126616447721,0,1,2.56494935746154,0,0.67,3.43398720448515,0,2,1,1,0,1,0,0.393915720030363,0,0,0,1,-2.63542997562926,0,0,0
"37","Tajikistan","TAJ",702,0.02213,0.03067,0,0,0,0,0,0,1,3.25809653802148,15.9996117203499,6.20483682299543,0.0531946508172363,1,1,2.94443897916644,1,0.51,0,1,3,1,1,0,0,0,0.172964038625523,0,1,0,1,-2.35673722984388,0,1,0
"38","Cameroon","CAO",471,0.0197,0.03048,0,0,1,0,0,0,0,4.04305126783455,16.9699493599296,7.55645419492503,0.0177923021060276,1,1,3.2188758248682,1,0.86,5.24702407216049,0,4,1,4,0,1,1,0.701883323588137,0,0,0,1,-2.66606631630023,0,1,0
"39","Chad","CHA",483,0.01716,0.02921,0,1,1,0,0,0,0,4.04305126783455,16.4926262298428,9.21954445729289,-0.0816925010473397,1,1,3.2188758248682,1,0.86,0,0,4,0,3,0,1,0,0.369871582622092,0,0,0,1,-2.15170757483522,0,1,0
"40","Indonesia","INS",850,0.0117,0.02868,0,1,0,1,0,0,0,4.21950770517611,19.3713332748442,4.77493455452533,0.0407961184275671,0,1,2.89037175789616,0,0.74,0,0,4,1,3,0,1,1,0.790807020230206,0,0,0,1,-2.78919887552768,0,0,1
"41","Thailand","THI",800,0.02519,0.028,1,1,0,1,0,0,0,6.50279004591562,18.0410300115163,3.24037034920393,0.0289137609413115,0,1,1.09861228866811,0,0.63,3.93182563272433,1,1,0,3,0,1,1,0.194781076898632,0,0,0,1,-1.52604652669858,1,1,0
"42","Niger","NIR",436,0.01968,0.02792,0,0,1,0,0,0,0,4.04305126783455,16.845708738198,7.55645419492503,0.012290502793296,1,1,1.79175946922805,0,0.65,5.61677109766657,1,4,1,4,0,1,1,0.899529805340828,0,0,0,1,-2.49267613472257,0,1,0
"43","Nepal","NEP",790,0.01204,0.02212,0,1,0,0,0,0,1,5.51745289646471,17.1803217049701,5.42217668469038,-0.00805523590333712,1,1,2.39789527279837,0,0.66,0,1,4,1,3,0,1,0,0.739112888793826,0,0,0,1,-2.50348045617927,0,0,1
"44","Rwanda","RWA",517,0.01353,0.02177,0,1,1,0,0,0,0,4.00733318523247,16.3031964411035,5.57673739743947,0.0387828162291168,0,1,3.13549421592915,0,0.32,4.86753445045558,1,3,1,4,0,1,1,0.317024254004769,0,0,0,1,-2.52212391869199,0,1,0
"45","Mali","MLI",432,0.01555,0.02176,0,0,1,0,0,0,0,4.04305126783455,16.708654147753,8.63133825081603,0.0262316058861165,1,1,1.38629436111989,0,0.69,3.29583686600433,1,4,1,3,0,1,1,0.738158225611878,0,1,0,0,-2.24147962367409,1,1,0
"46","South Africa","SAF",560,0.008447,0.01711,0,1,1,0,0,0,0,4.67282883446191,17.8353192347062,5.79655069847578,-0.00871080139372826,1,1,3.13549421592915,0,0.75,0,1,4,1,4,0,1,1,0.854673205621894,0,0,0,1,-2.2696615148559,0,0,1
"47","Bahrain","BAH",692,0.006524,0.0163,0,0,0,0,0,1,0,3.8286413964891,14.3138389294459,2.30217288664427,0.0146950021685333,0,1,1.6094379124341,1,0.5,0,0,3,1,1,0,0,0,0.224099870639767,1,0,1,1,-1.37896247951528,0,0,0
