"","country","SFTGcode","COW","risk_in_2018","risk_2018_19","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"1","Democratic Republic of Congo","ZAI",490,0.1377,0.3086,1,1,1,0,0,0,0,4.06044301054642,18.2070141253228,8.63133825081603,0.0235795667615973,1,1,0.693147180559945,1,0.87,3.80666248977032,1,4,1,3,1,0,0,0.312635087349609,0,0,0,1,-2.04402088033358,1,1,0
"2","Afghanistan","AFG",700,0.134,0.2407,1,1,0,0,0,0,1,4.59511985013459,17.382501450546,8.14248119432891,0.0147389208966004,0,1,1.38629436111989,1,0.77,7.9287663216267,1,4,1,2,0,0,0,0.566546681686227,0,0,0,1,-2.35914777816913,0,1,0
"3","Egypt","EGY",651,0.08709,0.2399,0,1,0,0,0,1,0,4.17438726989564,18.3882899260017,4.50555213042752,0.0274217375663437,1,1,1.6094379124341,1,0.18,3.89182029811063,1,3,1,2,1,0,0,0.188825027492457,1,0,0,1,-2.59712626278868,1,1,0
"4","South Sudan","SSD",626,0.08947,0.1828,1,1,1,0,0,0,0,1.94591014905531,16.3559324959006,7.76530746332687,-0.0065,0,1,0,1,0.73,6.14418563412565,1,4,1,2,1,0,0,0.206923682558732,1,0,0,1,-1.57066599339285,0,1,0
"5","Pakistan","PAK",770,0.07403,0.1668,1,1,0,0,0,0,1,4.26267987704132,19.0899508350565,8.1117199162693,0.0395744369552596,0,1,2.30258509299405,1,0.71,4.39444915467244,1,4,1,2,0,0,0,0.60982738100784,0,0,0,0,-3.18876933515154,0,0,1
"6","Yemen","YEM",679,0.07602,0.1605,0,0,0,0,0,1,0,3.3322045101752,17.1549390915146,5.81377674149945,-0.0416666666666667,0,1,0,1,0.135,7.7484600238997,1,3,1,0,1,0,0,0.191787180125179,1,0,0,1,-2.90749104471681,0,1,0
"7","Angola","ANG",540,0.05646,0.1163,0,1,1,0,0,0,0,3.76120011569356,17.2073793177572,9.79795897113271,-0.000248738226452556,1,1,3.04452243772342,1,0.79,3.25809653802148,1,4,1,3,0,0,0,0.541969102027119,0,0,0,1,-2.32769714836569,0,1,0
"8","Turkey","TUR",640,0.0702,0.1116,0,1,0,0,1,0,0,4.55387689160054,18.1996941054683,3.40587727318528,0.0533157891481186,1,1,0.693147180559945,0,0.32,6.38856140554563,1,4,0,2,0,0,0,0.154870982961529,0,0,0,1,-2.39320912602438,1,1,0
"9","Sudan","SUD",625,0.05609,0.09681,1,1,1,0,0,0,0,4.12713438504509,17.5134266756426,6.89927532426414,0.0282363698460903,0,1,1.94591014905531,1,0.71,3.8286413964891,1,3,0,1,0,0,0,0.305255756771755,0,0,0,1,-3.38333610791963,0,1,0
"10","Somalia","SOM",520,0.07025,0.09533,1,1,1,0,0,0,0,4.06044301054642,16.5121739315316,9.21954445729289,0.024,1,1,1.79175946922805,1,0.81,7.51643330291563,1,3,1,1,0,0,0,0.401608385883976,0,0,0,1,-2.00705777118436,0,1,0
"11","Ivory Coast","IVO",437,0.04311,0.09355,0,1,1,0,0,0,0,4.06044301054642,17.0054470788054,8.16088230524127,0.0563420591813949,1,1,1.94591014905531,0,0.82,0,1,4,1,4,0,0,0,0.744882363788381,0,0,0,0,-2.50989897766371,0,1,0
"12","Libya","LIB",620,0.0416,0.09329,0,1,0,0,0,1,0,4.20469261939097,15.6943533739543,3.37638860322683,0.207341882118015,1,1,0,0,0.79,4.26267987704132,1,4,1,1,0,0,0,0.257806783597753,0,0,0,0,-1.64720964326132,0,1,0
"13","Bangladesh","BNG",771,0.04727,0.08786,0,1,0,0,0,0,1,3.85014760171006,18.9108444806848,5.54075807087803,0.0522405257845664,0,1,1.38629436111989,1,0.05,3.87120101090789,1,4,1,2,0,1,0,0.541175820518214,0,0,0,1,-2.85212974462734,0,1,0
"14","India","IND",750,0.03606,0.07825,1,1,0,0,0,0,1,4.26267987704132,21.0054518977116,6.15629758864855,0.0469617627235163,0,1,4.21950770517611,0,0.42,3.68887945411394,1,4,1,3,0,1,0,0.746606609221832,0,0,0,1,-2.70120907708147,0,0,1
"15","Syria","SYR",652,0.03205,0.07707,1,1,0,0,0,1,0,4.27666611901606,16.7236263603565,3.33166624979154,-0.137931034482759,0,1,4.00733318523247,1,0.54,9.30537778731093,1,2,0,2,1,0,0,0.109321453885407,1,0,1,1,-1.22727749164146,0,0,0
"16","Burundi","BUI",516,0.03183,0.07462,0,1,1,0,0,0,0,4.02535169073515,16.2125568530644,7.35527021937332,-0.00186888669042738,0,1,1.09861228866811,1,0.3,0,1,2,1,4,1,0,0,0.0842683879849291,0,1,1,1,-2.7688546331777,1,1,0
"17","Cameroon","CAO",471,0.04124,0.07171,0,0,1,0,0,0,0,4.06044301054642,16.9955737242752,7.55645419492503,0.0193903010840433,1,1,3.25809653802148,0,0.86,4.15888308335967,0,4,1,4,0,0,0,0.608581717237382,0,0,0,1,-2.80369011961507,0,1,0
"18","Iraq","IRQ",645,0.03839,0.06934,1,1,0,0,0,1,0,4.45434729625351,17.456432630691,5.1478150704935,-0.0122605662917836,0,1,1.38629436111989,1,0.37,9.53372736904874,1,3,1,2,0,0,0,0.399020592712172,0,0,0,1,-2.05963600209147,0,0,1
"19","Chad","CHA",483,0.03351,0.05976,0,1,1,0,0,0,0,4.06044301054642,16.5226311862064,9.21954445729289,-0.0296464510814728,1,1,3.25809653802148,1,0.86,4.06044301054642,0,4,0,2,1,1,0,0.43735887748321,0,0,0,1,-2.06568415315935,0,1,0
"20","Nigeria","NIG",475,0.03114,0.05935,1,1,1,0,0,0,0,4.06044301054642,19.0583827897866,8.33066623986341,0.000493866915230559,0,1,1.09861228866811,1,0.85,6.70686233660275,0,4,2,3,0,1,1,0.828986805255196,0,0,0,1,-3.42316960444764,0,0,1
"21","Tanzania","TAZ",510,0.0232,0.0552,0,1,1,0,0,0,0,4.04305126783455,17.8580713976198,5.93295878967653,0.0508004454337797,0,1,1.09861228866811,0,0.74,0,1,4,2,3,0,1,1,0.714796912485355,0,0,0,0,-2.65756792786402,0,1,0
"22","Burma/Myanmar","MYA",775,0.03523,0.05382,1,1,0,1,0,0,0,4.24849524204936,17.7871606153728,6.28490254498827,0.0449190906430382,0,1,0.693147180559945,0,0.51,5.97635090929793,1,4,1,2,0,0,0,0.644491208860452,1,0,0,1,-2.74362851181662,0,0,1
"23","Uganda","UGA",500,0.03042,0.05335,0,1,1,0,0,0,0,4.02535169073515,17.5689935306179,6.1400325732035,0.025690565164433,1,1,2.56494935746154,0,0.93,5.46383180502561,1,4,1,3,0,1,1,0.579077031170543,0,0,0,1,-2.60599301466009,0,1,0
"24","Zimbabwe","ZIM",552,0.02397,0.04954,0,1,1,0,0,0,0,3.63758615972639,16.6248937517352,6.82641926635041,0.0215499398724707,0,1,1.6094379124341,1,0.39,0,1,4,0,4,0,0,1,0.238733072888283,0,1,0,1,-2.25688286023706,1,1,0
"25","Kenya","KEN",501,0.02398,0.04876,0,0,1,0,0,0,0,4.00733318523247,17.7162296216495,5.95818764390649,0.0330543655127833,0,1,2.77258872223978,0,0.86,4.45434729625351,1,4,1,3,0,0,0,0.791988368694827,0,0,0,1,-2.7344786532267,0,0,1
"26","Haiti","HAI",41,0.02849,0.04603,0,1,0,0,0,0,0,5.36597601502185,16.2230392389593,7.22495674727538,0.00336315986307992,0,1,0,1,0.1,0,1,4,1,3,0,0,1,0.784466122624067,0,0,0,1,-2.03985796711789,0,1,0
"27","Republic of the Congo","CON",484,0.02354,0.04301,0,1,1,0,0,0,0,4.06044301054642,15.5098770556423,5.76194411635517,-0.0427262538603103,1,1,3.04452243772342,1,0.87,0,1,4,0,4,0,0,0,0.29484766698733,0,0,0,1,-1.38646569384087,0,1,0
"28","North Korea","PRK",731,0.02871,0.04208,1,1,0,1,0,0,0,4.24849524204936,17.0490779315755,22,-0.0165809033733562,0,1,4.24849524204936,1,0.04,0,1,0,1,0,1,0,0,0.0115198345472078,1,1,1,1,-1.42414458525099,0,0,0
"29","Rwanda","RWA",517,0.02209,0.04163,0,1,1,0,0,0,0,4.02535169073515,16.3268471430519,5.57673739743947,0.042773560635774,0,1,3.17805383034795,1,0.32,0,1,3,1,4,0,0,0,0.225532920261692,0,0,0,1,-2.45752059623841,0,1,0
"30","China","CHN",710,0.02325,0.04039,0,1,0,1,0,0,0,7.71378461659875,21.040095132849,3.03315017762062,0.0491674915813555,0,1,4.23410650459726,0,0.15,0,1,0,1,0,0,0,0,0.349646682950646,0,0,0,1,-2.77881409320288,0,0,0
"31","Algeria","ALG",615,0.02142,0.04031,0,1,0,0,0,1,0,4.02535169073515,17.53249313831,4.67974358271904,0.00757605628073033,1,1,2.63905732961526,0,0.34,4.11087386417331,1,3,1,2,0,1,1,0.736498848243774,0,0,0,1,-2.27715893425317,0,1,0
"32","Ethiopia","ETI",530,0.02332,0.03815,1,1,1,0,0,0,0,7.65822752616135,18.4612761855118,6.43428317685817,0.075928467640494,0,1,2.56494935746154,0,0.72,0,1,3,1,3,0,1,0,0.474053211305305,0,0,0,1,-2.97600723998686,0,1,0
"33","Mozambique","MZM",541,0.01763,0.03799,0,1,1,0,0,0,0,3.76120011569356,17.2035293845398,7.52994023880668,0.0236583239397073,0,1,3.17805383034795,0,0.69,0,1,4,1,4,0,1,1,0.776524061225279,0,0,0,0,-1.64472680824865,0,1,0
"34","Central African Republic","CEN",482,0.02198,0.03705,1,1,1,0,0,0,0,4.06044301054642,15.3939824077984,9.5655632348545,0.0283712784572625,1,1,0.693147180559945,0,0.83,0,1,4,1,3,0,0,0,0.575345532662051,0,0,0,1,-2.60901069982646,1,0,1
"35","Thailand","THI",800,0.02841,0.03472,1,1,0,1,0,0,0,6.50428817353665,18.0435448877841,3.24037034920393,0.0251962281894348,0,1,1.38629436111989,0,0.63,3.78418963391826,1,1,1,3,0,1,1,0.175902524136359,0,0,0,1,-1.52604652669858,1,1,0
"36","Uzbekistan","UZB",704,0.02028,0.03172,0,0,0,0,0,0,1,3.29583686600433,17.2905289805028,5.82237065120385,0.0363701268644102,1,1,3.29583686600433,1,0.41,0,1,2,1,2,0,0,0,0.341756770169364,0,0,0,1,-2.31885433690171,0,0,0
"37","Morocco","MOR",600,0.01236,0.03094,0,0,0,0,0,1,0,4.12713438504509,17.3883416081377,4.86826457785523,0.0267721033973747,0,1,3.97029191355212,0,0.48,0,1,4,2,2,0,1,0,0.744320042252202,0,0,0,1,-1.930014035535,0,1,0
"38","Russia","RUS",365,0.02135,0.02929,0,1,0,0,1,0,0,3.29583686600433,18.7803487273207,2.86356421265527,0.006341352369125,1,1,2.89037175789616,1,0.25,3.98898404656427,1,3,1,3,0,1,1,0.591661661215469,0,0,0,0,-2.55164571008575,0,1,0
"39","Indonesia","INS",850,0.01329,0.02908,0,1,0,1,0,0,0,4.23410650459726,19.3822771560397,4.77493455452533,0.0345119517100622,0,1,2.94443897916644,0,0.74,0,0,4,1,3,0,1,0,0.793592388716234,0,0,0,1,-2.7307765933715,0,0,1
"40","Guinea","GUI",438,0.01783,0.02878,0,1,1,0,0,0,0,4.0943445622221,16.3669123860489,7.81024967590665,0.059964022149323,1,1,1.6094379124341,0,0.74,0,1,4,1,4,0,1,0,0.798595797382058,0,0,0,1,-1.32460374004576,0,1,0
"41","Iran","IRN",630,0.01291,0.0284,0,1,0,0,0,1,0,6.24804287450843,18.2048395927163,3.66060104354463,0.0283718945524538,0,1,2.63905732961526,1,0.67,3.3322045101752,0,2,1,1,0,1,0,0.443240911395261,0,0,0,1,-2.56679625119869,0,0,0
"42","Jordan","JOR",663,0.01141,0.02811,0,1,0,0,0,1,0,4.27666611901606,16.1020059382391,3.92428337406972,0.00973580153995463,0,1,3.36729582998647,0,0.59,0,1,4,1,2,0,1,0,0.72876523818497,0,0,0,1,-1.58144091090155,0,1,0
"43","Niger","NIR",436,0.0218,0.02773,0,0,1,0,0,0,0,4.06044301054642,16.8834543428385,7.55645419492503,0.0331269274568822,1,1,1.94591014905531,0,0.65,5.31811999384422,1,4,1,4,0,1,1,0.845663498300731,0,0,0,0,-2.48798976417446,0,1,0
"44","Democratic Republic of Vietnam","VIE",816,0.01451,0.02422,0,1,0,1,0,0,0,3.73766961828337,18.3674970751146,4.15932686861708,0.0484656013949194,0,1,4.15888308335967,1,0.24,0,1,0,2,2,0,0,0,0.559767539496541,0,0,0,0,-0.991591010966948,0,0,0
"45","Bahrain","BAH",692,0.008682,0.02237,0,0,0,0,0,1,0,3.85014760171006,14.3535854237405,2.30217288664427,0.0250511020121624,0,1,1.79175946922805,1,0.5,0,0,3,0,1,1,0,0,0.224099870639767,1,0,1,1,-1.37896247951528,0,0,0
"46","Nepal","NEP",790,0.01344,0.02219,0,1,0,0,0,0,1,5.52146091786225,17.1912888909557,5.42217668469038,0.0539617226397332,1,1,2.484906649788,0,0.66,0,1,4,1,3,0,1,0,0.779922064773505,0,0,0,0,-2.44172306900264,0,0,1
"47","Ukraine","UKR",369,0.01689,0.02132,0,0,0,0,1,0,0,3.29583686600433,17.6136470708273,2.77488738510232,0.0139784776410927,1,1,3.29583686600433,1,0.47,4.14313472639153,1,3,1,3,0,1,1,0.684341717482805,0,0,0,1,-1.71269987275329,1,1,0
"48","Tajikistan","TAJ",702,0.01616,0.0204,0,0,0,0,0,0,1,3.29583686600433,16.0201728798221,6.20483682299543,0.0507671678297705,1,1,2.99573227355399,1,0.51,0,1,3,1,1,0,1,0,0.233453870804076,0,0,0,1,-2.34620042920646,0,1,0
"49","Djibouti","DJI",522,0.0147,0.01899,0,0,1,0,0,0,0,3.71357206670431,13.9831098284305,7.36206492772238,0.07,1,1,2.94443897916644,1,0.8,0,1,3,1,2,0,0,0,0.556560479485011,0,0,0,1,-1.6488542612615,0,1,0
"50","Malaysia","MAL",820,0.01085,0.01791,0,0,0,1,0,0,0,4.11087386417331,17.2668659216889,2.44948974278318,0.041183289503831,0,1,2.30258509299405,0,0.59,0,1,4,2,2,0,1,1,0.657092760370547,0,0,0,1,-1.40724014833159,0,1,0
"51","South Africa","SAF",560,0.009211,0.01662,0,1,1,0,0,0,0,4.68213122712422,17.8477158017073,5.79655069847578,0.00453717141882482,1,1,3.17805383034795,0,0.75,0,1,4,1,4,0,1,1,0.830778531267633,0,0,0,1,-2.31671305539194,0,0,1
"52","Burkina Faso","BFO",439,0.009905,0.01633,0,0,1,0,0,0,0,4.06044301054642,16.7723212990952,7.80384520605067,0.0479089790788349,1,1,1.09861228866811,0,0.74,0,1,4,2,4,0,1,1,0.862264218730181,0,0,0,0,-2.24278116196675,1,0,1
"53","Mali","MLI",432,0.01404,0.01625,0,0,1,0,0,0,0,4.06044301054642,16.7382222843754,8.63133825081603,0.0363701268708272,1,1,1.6094379124341,0,0.69,3.78418963391826,1,4,1,3,0,1,1,0.727052585577725,0,1,0,0,-2.22914030378727,0,1,0
"54","Turkmenistan","TKM",701,0.01403,0.01532,0,0,0,0,0,0,1,3.29583686600433,15.5964701015564,6.61059755241536,0.0459681507789247,1,1,3.29583686600433,1,0.39,0,1,0,1,1,0,0,0,0.115914418615138,0,0,0,1,-1.24570847639494,0,0,0
